epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,1e-05,0,,,,,,
0,,349,,,,,0.9519110321998596,0.12155544757843018
0,,349,,,0.9022354483604431,0.21882644295692444,,
,1e-05,350,,,,,,
1,,699,,,,,0.974148690700531,0.07410837709903717
1,,699,,,0.9826825857162476,0.04761749133467674,,
,1e-05,700,,,,,,
2,,1049,,,,,0.9753995537757874,0.08127782493829727
2,,1049,,,0.9951415657997131,0.01512883510440588,,
,1e-05,1050,,,,,,
3,,1399,,,,,0.9708130359649658,0.1125367134809494
3,,1399,,,0.9967809319496155,0.009023218415677547,,
,1e-05,1400,,,,,,
4,,1749,,,,,0.9745656847953796,0.09626822918653488
4,,1749,,,0.9981818199157715,0.0057111321948468685,,
5,,1750,0.9757896065711975,0.08740879595279694,,,,
